YEAR,MONTH,YR_MONTH,GDP,SOURCE
1978,07,1978-07,36.067,GDP- National
1978,10,1978-10,36.806,GDP- National
1979,01,1979-01,37.476,GDP- National
1979,04,1979-04,38.394,GDP- National
1979,07,1979-07,39.234,GDP- National
1979,10,1979-10,39.962,GDP- National
1980,01,1980-01,40.801,GDP- National
1980,04,1980-04,41.772,GDP- National
1980,07,1980-07,42.705,GDP- National
1980,10,1980-10,43.818,GDP- National
1981,01,1981-01,44.972,GDP- National
1981,04,1981-04,45.863,GDP- National
1981,07,1981-07,46.726,GDP- National
1981,10,1981-10,47.534,GDP- National
1982,01,1982-01,48.188,GDP- National
1982,04,1982-04,48.814,GDP- National
1982,07,1982-07,49.506,GDP- National
1982,10,1982-10,50.019,GDP- National
1983,01,1983-01,50.397,GDP- National
1983,04,1983-04,50.771,GDP- National
1983,07,1983-07,51.311,GDP- National
1983,10,1983-10,51.7,GDP- National
1984,01,1984-01,52.223,GDP- National
1984,04,1984-04,52.67,GDP- National
1984,07,1984-07,53.138,GDP- National
1984,10,1984-10,53.536,GDP- National
1985,01,1985-01,54.065,GDP- National
1985,04,1985-04,54.413,GDP- National
1985,07,1985-07,54.741,GDP- National
1985,10,1985-10,55.047,GDP- National
1986,01,1986-01,55.321,GDP- National
1986,04,1986-04,55.531,GDP- National
1986,07,1986-07,55.758,GDP- National
1986,10,1986-10,56.062,GDP- National
1987,01,1987-01,56.418,GDP- National
1987,04,1987-04,56.809,GDP- National
1987,07,1987-07,57.239,GDP- National
1987,10,1987-10,57.695,GDP- National
1988,01,1988-01,58.147,GDP- National
1988,04,1988-04,58.713,GDP- National
1988,07,1988-07,59.415,GDP- National
1988,10,1988-10,59.929,GDP- National
1989,01,1989-01,60.553,GDP- National
1989,04,1989-04,61.198,GDP- National
1989,07,1989-07,61.645,GDP- National
1989,10,1989-10,62.084,GDP- National
1990,01,1990-01,62.754,GDP- National
1990,04,1990-04,63.457,GDP- National
1990,07,1990-07,64.001,GDP- National
1990,10,1990-10,64.477,GDP- National
1991,01,1991-01,65.109,GDP- National
1991,04,1991-04,65.587,GDP- National
1991,07,1991-07,66.099,GDP- National
1991,10,1991-10,66.492,GDP- National
1992,01,1992-01,66.739,GDP- National
1992,04,1992-04,67.14,GDP- National
1992,07,1992-07,67.468,GDP- National
1992,10,1992-10,67.932,GDP- National
1993,01,1993-01,68.313,GDP- National
1993,04,1993-04,68.719,GDP- National
1993,07,1993-07,69.128,GDP- National
1993,10,1993-10,69.505,GDP- National
1994,01,1994-01,69.837,GDP- National
1994,04,1994-04,70.174,GDP- National
1994,07,1994-07,70.577,GDP- National
1994,10,1994-10,70.96,GDP- National
1995,01,1995-01,71.344,GDP- National
1995,04,1995-04,71.687,GDP- National
1995,07,1995-07,72.04,GDP- National
1995,10,1995-10,72.387,GDP- National
1996,01,1996-01,72.736,GDP- National
1996,04,1996-04,73.037,GDP- National
1996,07,1996-07,73.276,GDP- National
1996,10,1996-10,73.668,GDP- National
1997,01,1997-01,74.107,GDP- National
1997,04,1997-04,74.257,GDP- National
1997,07,1997-07,74.579,GDP- National
1997,10,1997-10,74.824,GDP- National
1998,01,1998-01,74.933,GDP- National
1998,04,1998-04,75.11,GDP- National
1998,07,1998-07,75.433,GDP- National
1998,10,1998-10,75.641,GDP- National
1999,01,1999-01,75.926,GDP- National
1999,04,1999-04,76.201,GDP- National
1999,07,1999-07,76.462,GDP- National
1999,10,1999-10,76.873,GDP- National
2000,01,2000-01,77.396,GDP- National
2000,04,2000-04,77.865,GDP- National
2000,07,2000-07,78.309,GDP- National
2000,10,2000-10,78.723,GDP- National
2001,01,2001-01,79.204,GDP- National
2001,04,2001-04,79.683,GDP- National
2001,07,2001-07,80.004,GDP- National
2001,10,2001-10,80.268,GDP- National
2002,01,2002-01,80.533,GDP- National
2002,04,2002-04,80.821,GDP- National
2002,07,2002-07,81.194,GDP- National
2002,10,2002-10,81.654,GDP- National
2003,01,2003-01,82.025,GDP- National
2003,04,2003-04,82.266,GDP- National
2003,07,2003-07,82.712,GDP- National
2003,10,2003-10,83.201,GDP- National
2004,01,2004-01,83.82,GDP- National
2004,04,2004-04,84.504,GDP- National
2004,07,2004-07,85.056,GDP- National
2004,10,2004-10,85.712,GDP- National
2005,01,2005-01,86.391,GDP- National
2005,04,2005-04,86.996,GDP- National
2005,07,2005-07,87.783,GDP- National
2005,10,2005-10,88.489,GDP- National
2006,01,2006-01,89.107,GDP- National
2006,04,2006-04,89.852,GDP- National
2006,07,2006-07,90.481,GDP- National
2006,10,2006-10,90.815,GDP- National
2007,01,2007-01,91.708,GDP- National
2007,04,2007-04,92.301,GDP- National
2007,07,2007-07,92.776,GDP- National
2007,10,2007-10,93.145,GDP- National
2008,01,2008-01,93.489,GDP- National
2008,04,2008-04,93.99,GDP- National
2008,07,2008-07,94.69,GDP- National
2008,10,2008-10,94.986,GDP- National
2009,01,2009-01,94.976,GDP- National
2009,04,2009-04,94.838,GDP- National
2009,07,2009-07,94.938,GDP- National
2009,10,2009-10,95.259,GDP- National
2010,01,2010-01,95.499,GDP- National
2010,04,2010-04,95.943,GDP- National
2010,07,2010-07,96.222,GDP- National
2010,10,2010-10,96.763,GDP- National
2011,01,2011-01,97.283,GDP- National
2011,04,2011-04,97.922,GDP- National
2011,07,2011-07,98.553,GDP- National
2011,10,2011-10,98.703,GDP- National
2012,01,2012-01,99.32,GDP- National
2012,04,2012-04,99.713,GDP- National
2012,07,2012-07,100.225,GDP- National
2012,10,2012-10,100.737,GDP- National
2013,01,2013-01,101.139,GDP- National
2013,04,2013-04,101.431,GDP- National
2013,07,2013-07,101.918,GDP- National
2013,10,2013-10,102.517,GDP- National
2014,01,2014-01,102.937,GDP- National
2014,04,2014-04,103.512,GDP- National
2014,07,2014-07,103.957,GDP- National
2014,10,2014-10,104.123,GDP- National
2015,01,2015-01,104.031,GDP- National
2015,04,2015-04,104.596,GDP- National
2015,07,2015-07,104.926,GDP- National
2015,10,2015-10,104.937,GDP- National
2016,01,2016-01,104.865,GDP- National
2016,04,2016-04,105.592,GDP- National
2016,07,2016-07,105.95,GDP- National
2016,10,2016-10,106.469,GDP- National
2017,01,2017-01,107.01,GDP- National
2017,04,2017-04,107.34,GDP- National
2017,07,2017-07,107.872,GDP- National
2017,10,2017-10,108.598,GDP- National
2018,01,2018-01,109.237,GDP- National
2018,04,2018-04,110.176,GDP- National
2018,07,2018-07,110.614,GDP- National
2018,10,2018-10,111.14,GDP- National
2019,01,2019-01,111.424,GDP- National
2019,04,2019-04,112.141,GDP- National
2019,07,2019-07,112.531,GDP- National
2019,10,2019-10,112.95,GDP- National
2020,01,2020-01,113.415,GDP- National
2020,04,2020-04,112.817,GDP- National
2020,07,2020-07,113.84,GDP- National
2020,10,2020-10,114.395,GDP- National
