YEAR,MONTH,CPI,SOURCE,YR_MONTH
2021,05, ,CPI- Regional,2021-05
2011,06,228.075,CPI- Regional,2011-06
2012,06,232.701,CPI- Regional,2012-06
2013,06,236.227,CPI- Regional,2013-06
2014,06,241.616,CPI- Regional,2014-06
2015,06,244.332,CPI- Regional,2015-06
2016,06,248.228,CPI- Regional,2016-06
2017,06,254.469,CPI- Regional,2017-06
2018,06,263.732,CPI- Regional,2018-06
2019,06,270.957,CPI- Regional,2019-06
2020,06,274.155,CPI- Regional,2020-06
2021,06, ,CPI- Regional,2021-06
2011,07,227.805,CPI- Regional,2011-07
2012,07,231.893,CPI- Regional,2012-07
2013,07,236.341,CPI- Regional,2013-07
2014,07,241.850,CPI- Regional,2014-07
2015,07,245.040,CPI- Regional,2015-07
2016,07,248.375,CPI- Regional,2016-07
2017,07,254.708,CPI- Regional,2017-07
2018,07,263.971,CPI- Regional,2018-07
2019,07,271.029,CPI- Regional,2019-07
2020,07,275.597,CPI- Regional,2020-07
2021,07, ,CPI- Regional,2021-07
2011,08,228.222,CPI- Regional,2011-08
2012,08,233.001,CPI- Regional,2012-08
2013,08,236.591,CPI- Regional,2013-08
2014,08,241.660,CPI- Regional,2014-08
2015,08,244.737,CPI- Regional,2015-08
2016,08,248.498,CPI- Regional,2016-08
2017,08,255.282,CPI- Regional,2017-08
2018,08,264.395,CPI- Regional,2018-08
2019,08,271.264,CPI- Regional,2019-08
2020,08,276.443,CPI- Regional,2020-08
2021,08, ,CPI- Regional,2021-08
2011,09,229.147,CPI- Regional,2011-09
2012,09,234.083,CPI- Regional,2012-09
2013,09,237.146,CPI- Regional,2013-09
2014,09,241.920,CPI- Regional,2014-09
2015,09,244.257,CPI- Regional,2015-09
2016,09,249.234,CPI- Regional,2016-09
2017,09,256.504,CPI- Regional,2017-09
2018,09,265.105,CPI- Regional,2018-09
2019,09,272.102,CPI- Regional,2019-09
2020,09,276.422,CPI- Regional,2020-09
2021,09, ,CPI- Regional,2021-09
2011,10,229.195,CPI- Regional,2011-10
2012,10,234.966,CPI- Regional,2012-10
2013,10,237.000,CPI- Regional,2013-10
2014,10,241.650,CPI- Regional,2014-10
2015,10,244.341,CPI- Regional,2015-10
2016,10,249.897,CPI- Regional,2016-10
2017,10,257.223,CPI- Regional,2017-10
2018,10,266.195,CPI- Regional,2018-10
2019,10,273.524,CPI- Regional,2019-10
2020,10,276.876,CPI- Regional,2020-10
2021,10, ,CPI- Regional,2021-10
2011,11,228.771,CPI- Regional,2011-11
2012,11,233.206,CPI- Regional,2012-11
2013,11,236.153,CPI- Regional,2013-11
2014,11,240.220,CPI- Regional,2014-11
2015,11,243.749,CPI- Regional,2015-11
2016,11,249.448,CPI- Regional,2016-11
2017,11,257.126,CPI- Regional,2017-11
2018,11,265.658,CPI- Regional,2018-11
2019,11,273.128,CPI- Regional,2019-11
2020,11,276.875,CPI- Regional,2020-11
2021,11, ,CPI- Regional,2021-11
2011,12,228.117,CPI- Regional,2011-12
2012,12,232.029,CPI- Regional,2012-12
2013,12,236.096,CPI- Regional,2013-12
2014,12,239.095,CPI- Regional,2014-12
2015,12,243.434,CPI- Regional,2015-12
2016,12,249.516,CPI- Regional,2016-12
2017,12,257.347,CPI- Regional,2017-12
2018,12,265.209,CPI- Regional,2018-12
2019,12,272.584,CPI- Regional,2019-12
2020,12,276.593,CPI- Regional,2020-12
2021,12, ,CPI- Regional,2021-12
